ConflictID,DyadID,Year,LocationInc,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,BdBest,BdLow,BdHigh,TypeOfConflict,BattleLocation,GWNoA,GWNoA2nd,GwNoB,GWNoB2nd,GWNoLoc,GWNoBattle,Region,Version
10,217,2010,Philippines,Government of Philippines,,CPP,1010,,2,,258,258,352,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2011,Philippines,Government of Philippines,,CPP,1010,,2,,204,204,210,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2012,Philippines,Government of Philippines,,CPP,1010,,2,,182,181,193,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2013,Philippines,Government of Philippines,,CPP,1010,,2,,165,165,170,3,Philippines,840,,,,840,840,3,5.0-2015
10,217,2014,Philippines,Government of Philippines,,CPP,1010,,2,,190,187,199,3,Philippines,840,,,,840,840,3,5.0-2015
20,345,1989,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1990,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1991,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,78,78,168,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1992,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,33,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1996,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1997,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,55,55,55,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1998,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,1999,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,885,865,1459,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,2000,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,2001,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,25,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,2002,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,25,25,34,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,2003,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,211,211,255,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
20,345,2014,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,37,34,52,2,"India, Pakistan",750,,770,,"750, 770","750, 770",3,5.0-2015
22,474,1989,Paraguay,Government of Paraguay,,Military faction (forces of Andres Rodriguez),1585,,2,,150,17,300,3,Paraguay,150,,,,150,150,5,5.0-2015
23,306,1989,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,1000,809,1355,3,"Myanmar (Burma), Thailand",775,,,,775,"775, 800",3,5.0-2015
23,306,1990,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,393,393,428,3,"Myanmar (Burma), Thailand",775,,,,775,"775, 800",3,5.0-2015
23,306,1991,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,552,497,672,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,1163,1130,1275,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,1994,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,1995,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,110,60,110,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,1997,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,41,41,41,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,1998,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,36,36,36,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,"306, 314",2000,Myanmar (Burma),Government of Myanmar (Burma),,"God's Army, KNU","1021, 1022",,1,Karen,114,112,114,3,"Myanmar (Burma), Myanmar (Burma), Thailand",775,,,,775,"775, 775, 800",3,5.0-2015
23,306,2001,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,36,36,36,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2002,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,110,108,121,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2003,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,38,38,44,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2004,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,27,25,28,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2005,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,42,38,46,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2006,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,104,79,105,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2007,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,104,104,106,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,306,2008,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,33,33,36,3,"Myanmar (Burma), Thailand",775,,,,775,"775, 800",3,5.0-2015
23,306,2009,Myanmar (Burma),Government of Myanmar (Burma),,KNU,1021,,1,Karen,58,58,78,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,"306, 805",2010,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU","1021, 1992",,1,Karen,121,106,125,3,"Myanmar (Burma), Myanmar (Burma), Thailand",775,,,,775,"775, 775, 800",3,5.0-2015
23,"306, 805",2011,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU","1021, 1992",,1,Karen,334,318,1467,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
23,805,2013,Myanmar (Burma),Government of Myanmar (Burma),,DKBA 5,1992,,1,Karen,41,41,41,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
24,322,1992,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,1026,,2,,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
24,322,1994,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,1026,,2,,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
24,322,1990,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,1026,,2,,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
24,322,1991,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,1026,,2,,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
25,312,1994,Myanmar (Burma),Government of Myanmar (Burma),,RSO,1029,,1,Arakan,109,109,109,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
25,312,1991,Myanmar (Burma),Government of Myanmar (Burma),,RSO,1029,,1,Arakan,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
26,326,1996,Myanmar (Burma),Government of Myanmar (Burma),,BMA,1033,,1,Mon,80,80,80,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
26,310,1990,Myanmar (Burma),Government of Myanmar (Burma),,NMSP,1032,,1,Mon,112,112,112,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
29,405,1991,India,Government of India,,PWG,1035,,2,,78,78,78,3,India,750,,,,750,750,3,5.0-2015
29,405,1992,India,Government of India,,PWG,1035,,2,,322,322,502,3,India,750,,,,750,750,3,5.0-2015
29,405,1993,India,Government of India,,PWG,1035,,2,,182,174,193,3,India,750,,,,750,750,3,5.0-2015
29,405,1994,India,Government of India,,PWG,1035,,2,,68,68,68,3,India,750,,,,750,750,3,5.0-2015
29,405,1996,India,Government of India,,PWG,1035,,2,,173,172,173,3,India,750,,,,750,750,3,5.0-2015
29,405,1997,India,Government of India,,PWG,1035,,2,,84,78,85,3,India,750,,,,750,750,3,5.0-2015
29,405,1998,India,Government of India,,PWG,1035,,2,,99,99,111,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406",1999,India,Government of India,,"MCC, PWG","1035, 1036",,2,,126,120,130,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406, 11932",2000,India,Government of India,,"CPI-ML-J, MCC, PWG","1035, 1036, 3946",,2,,196,189,201,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406",2001,India,Government of India,,"MCC, PWG","1035, 1036",,2,,173,158,173,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406",2002,India,Government of India,,"MCC, PWG","1035, 1036",,2,,179,178,189,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406",2003,India,Government of India,,"MCC, PWG","1035, 1036",,2,,66,66,66,3,India,750,,,,750,750,3,5.0-2015
29,"405, 406",2004,India,Government of India,,"MCC, PWG","1035, 1036",,2,,97,97,102,3,India,750,,,,750,750,3,5.0-2015
29,451,2005,India,Government of India,,CPI-Maoist,1037,,2,,199,199,241,3,India,750,,,,750,750,3,5.0-2015
29,451,2006,India,Government of India,,CPI-Maoist,1037,,2,,545,488,607,3,India,750,,,,750,750,3,5.0-2015
29,451,2007,India,Government of India,,CPI-Maoist,1037,,2,,375,371,402,3,India,750,,,,750,750,3,5.0-2015
29,451,2008,India,Government of India,,CPI-Maoist,1037,,2,,379,371,432,3,India,750,,,,750,750,3,5.0-2015
29,451,2009,India,Government of India,,CPI-Maoist,1037,,2,,522,513,654,3,India,750,,,,750,750,3,5.0-2015
29,451,2010,India,Government of India,,CPI-Maoist,1037,,2,,570,557,665,3,India,750,,,,750,750,3,5.0-2015
29,451,2011,India,Government of India,,CPI-Maoist,1037,,2,,293,293,342,3,India,750,,,,750,750,3,5.0-2015
29,451,2012,India,Government of India,,CPI-Maoist,1037,,2,,241,233,274,3,India,750,,,,750,750,3,5.0-2015
29,451,2013,India,Government of India,,CPI-Maoist,1037,,2,,210,205,231,3,India,750,,,,750,750,3,5.0-2015
29,451,2014,India,Government of India,,CPI-Maoist,1037,,2,,177,163,228,3,India,750,,,,750,750,3,5.0-2015
33,784,2009,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,1747,,2,,94,94,103,4,Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
33,784,2010,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,1747,,2,,175,149,244,4,Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
33,784,2011,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,1747,,2,,1140,1135,1195,4,Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
33,784,2012,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,1747,,2,,2330,2328,2415,4,Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
33,784,2013,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,1747,,2,,582,581,641,4,Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
33,"784, 10855",2014,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,"AQAP, Ansarallah","1747, 1976",,2,,1660,1660,2046,"3, 4",Yemen (North Yemen),678,2,,,678,678,2,5.0-2015
34,304,1989,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,194,194,194,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,1990,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,1991,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,1992,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,25,25,25,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,2011,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,209,208,574,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,2012,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,702,676,2198,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,2013,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,125,117,143,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
34,304,2014,Myanmar (Burma),Government of Myanmar (Burma),,KIO,1043,,1,Kachin,83,83,84,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
36,228,1989,Guatemala,Government of Guatemala,,URNG,1593,,2,,81,81,300,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1990,Guatemala,Government of Guatemala,,URNG,1593,,2,,72,72,103,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1991,Guatemala,Government of Guatemala,,URNG,1593,,2,,64,64,76,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1992,Guatemala,Government of Guatemala,,URNG,1593,,2,,66,66,94,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1993,Guatemala,Government of Guatemala,,URNG,1593,,2,,58,58,86,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1994,Guatemala,Government of Guatemala,,URNG,1593,,2,,33,33,35,3,Guatemala,90,,,,90,90,5,5.0-2015
36,228,1995,Guatemala,Government of Guatemala,,URNG,1593,,2,,26,20,26,3,Guatemala,90,,,,90,90,5,5.0-2015
37,"419, 428",1989,Israel,Government of Israel,,"PFLP, PFLP-GC","1047, 1048",,1,Palestine,54,54,63,3,"Israel, Lebanon",666,,,,666,"666, 660",2,5.0-2015
37,377,1990,Israel,Government of Israel,,Fatah,1049,,1,Palestine,29,26,49,3,"Israel, Lebanon",666,,,,666,"666, 660",2,5.0-2015
37,377,1991,Israel,Government of Israel,,Fatah,1049,,1,Palestine,28,28,30,3,"Israel, Lebanon",666,,,,666,"666, 660",2,5.0-2015
37,377,1992,Israel,Government of Israel,,Fatah,1049,,1,Palestine,33,32,36,3,"Israel, Lebanon, France",666,,,,666,"666, 660, 220",2,5.0-2015
37,381,1993,Israel,Government of Israel,,Hamas,1051,,1,Palestine,47,47,48,3,Israel,666,,,,666,666,2,5.0-2015
37,381,1994,Israel,Government of Israel,,Hamas,1051,,1,Palestine,44,41,45,3,Israel,666,,,,666,666,2,5.0-2015
37,380,1995,Israel,Government of Israel,,PIJ,1050,,1,Palestine,34,34,36,3,"Israel, Malta",666,,,,666,"666, 338",2,5.0-2015
37,427,1996,Israel,Government of Israel,,PNA,1052,,1,Palestine,66,66,66,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 427",2000,Israel,Government of Israel,,"Fatah, PNA","1049, 1052",,1,Palestine,77,74,79,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 381, 419, 427",2001,Israel,Government of Israel,,"Fatah, Hamas, PFLP, PNA","1047, 1049, 1051, 1052",,1,Palestine,218,212,235,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 380, 381, 426, 427",2002,Israel,Government of Israel,,"AMB, Fatah, Hamas, PIJ, PNA","1049, 1050, 1051, 1052, 1053",,1,Palestine,413,413,430,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381, 426",2003,Israel,Government of Israel,,"AMB, Hamas, PIJ","1050, 1051, 1053",,1,Palestine,307,307,326,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381, 426",2004,Israel,Government of Israel,,"AMB, Hamas, PIJ","1050, 1051, 1053",,1,Palestine,361,358,421,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 380, 381",2005,Israel,Government of Israel,,"Fatah, Hamas, PIJ","1049, 1050, 1051",,1,Palestine,119,119,131,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 380, 381, 629",2006,Israel,Government of Israel,,"Fatah, Hamas, PIJ, PRC","1049, 1050, 1051, 1054",,1,Palestine,328,321,378,3,Israel,666,,,,666,666,2,5.0-2015
37,"377, 380, 381",2007,Israel,Government of Israel,,"Fatah, Hamas, PIJ","1049, 1050, 1051",,1,Palestine,272,271,301,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381",2008,Israel,Government of Israel,,"Hamas, PIJ","1050, 1051",,1,Palestine,665,584,712,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381",2009,Israel,Government of Israel,,"Hamas, PIJ","1050, 1051",,1,Palestine,682,580,853,3,Israel,666,,,,666,666,2,5.0-2015
37,380,2010,Israel,Government of Israel,,PIJ,1050,,1,Palestine,27,27,27,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381",2011,Israel,Government of Israel,,"Hamas, PIJ","1050, 1051",,1,Palestine,56,56,59,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381",2012,Israel,Government of Israel,,"Hamas, PIJ","1050, 1051",,1,Palestine,64,64,85,3,Israel,666,,,,666,666,2,5.0-2015
37,"380, 381",2014,Israel,Government of Israel,,"Hamas, PIJ","1050, 1051",,1,Palestine,1665,1651,1750,3,Israel,666,,,,666,666,2,5.0-2015
54,286,1992,India,Government of India,,NSCN-IM,1065,,1,Nagaland,47,47,47,3,India,750,,,,750,750,3,5.0-2015
54,286,1993,India,Government of India,,NSCN-IM,1065,,1,Nagaland,92,92,128,3,India,750,,,,750,750,3,5.0-2015
54,286,1994,India,Government of India,,NSCN-IM,1065,,1,Nagaland,60,58,69,3,India,750,,,,750,750,3,5.0-2015
54,286,1995,India,Government of India,,NSCN-IM,1065,,1,Nagaland,95,95,95,3,India,750,,,,750,750,3,5.0-2015
54,286,1996,India,Government of India,,NSCN-IM,1065,,1,Nagaland,40,40,40,3,India,750,,,,750,750,3,5.0-2015
54,286,1997,India,Government of India,,NSCN-IM,1065,,1,Nagaland,37,37,37,3,India,750,,,,750,750,3,5.0-2015
54,286,2000,India,Government of India,,NSCN-IM,1065,,1,Nagaland,30,18,30,3,India,750,,,,750,750,3,5.0-2015
56,311,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,1067,,1,Karenni,404,402,404,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
56,311,1996,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,1067,,1,Karenni,124,124,140,3,Myanmar (Burma),775,,,,775,775,3,5.0-2015
56,311,2005,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,1067,,1,Karenni,35,35,35,3,"Myanmar (Burma), Thailand",775,,,,775,"775, 800",3,5.0-2015
62,298,1991,Iraq,Government of Iraq,,SCIRI,1073,,2,,237,237,237,3,Iraq,645,,,,645,645,2,5.0-2015
62,298,1992,Iraq,Government of Iraq,,SCIRI,1073,,2,,280,280,741,3,Iraq,645,,,,645,645,2,5.0-2015
62,298,1993,Iraq,Government of Iraq,,SCIRI,1073,,2,,75,75,203,3,Iraq,645,,,,645,645,2,5.0-2015
62,298,1994,Iraq,Government of Iraq,,SCIRI,1073,,2,,25,25,36,3,Iraq,645,,,,645,645,2,5.0-2015
62,298,1995,Iraq,Government of Iraq,,SCIRI,1073,,2,,325,325,560,3,Iraq,645,,,,645,645,2,5.0-2015
62,298,1996,Iraq,Government of Iraq,,SCIRI,1073,,2,,42,42,66,3,Iraq,645,,,,645,645,2,5.0-2015
62,"442, 443, 448",2004,Iraq,Government of Iraq,"Government of Albania, Government of Australia, Government of Azerbaijan, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of Dominican Republic, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Honduras, Government of Italy, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Netherlands, Government of Nicaragua, Government of Norway, Government of Philippines, Government of Poland, Government of Portugal, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Spain, Government of Tonga, Government of Ukraine, Government of United Kingdom, Government of United States of America, Government of Albania, Government of Australia, Government of Azerbaijan, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of Dominican Republic, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Honduras, Government of Italy, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, Government of Moldova, Government of Mongolia, Government of Netherlands, Government of Nicaragua, Government of Norway, Government of Philippines, Government of Poland, Government of Portugal, Government of South Korea , Government of Rumania, Government of Slovakia, Government of Spain, Government of Tonga, Government of Ukraine, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, al-Mahdi Army","1075, 1076, 5659",,2,,4094,4081,6142,4,Iraq,645,"339, 900, 373, 355, 316, 390, 42, 92, 366, 372, 91, 325, 705, 367, 368, 343, 359, 712, 210, 93, 385, 840, 290, 235, 360, 317, 732, 230, 972, 369, 200, 2, 339, 900, 373, 355, 316, 390, 42, 92, 366, 372, 91, 325, 705, 367, 368, 343, 359, 712, 210, 93, 385, 840, 290, 235, 732, 360, 317, 230, 972, 369, 200, 2",,,645,645,2,5.0-2015
62,"443, 448, 578",2005,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Italy, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, Government of Moldova, Government of Mongolia, Government of Netherlands, Government of Norway, Government of Poland, Government of Portugal, Government of South Korea , Government of Rumania, Government of Slovakia, Government of Ukraine, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF","1075, 1076, 1077",,2,,2608,2542,3563,4,Iraq,645,"339, 371, 900, 373, 346, 355, 316, 390, 92, 366, 372, 325, 705, 367, 368, 343, 359, 712, 210, 385, 290, 235, 732, 360, 317, 369, 200, 2",,,645,645,2,5.0-2015
62,"443, 448, 578",2006,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, , Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, Government of Moldova, Government of Mongolia, Government of Poland, Government of South Korea, Government of Rumania, Government of Slovakia, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF","1075, 1076, 1077",,2,,3934,3195,4134,4,Iraq,645,"339, 371, 900, 373, 346, 355, 316, 390, 92, 366, 372, 705, 367, 368, 343, 359, 712, 290, 732, 360, 317, 200, 2",,,645,645,2,5.0-2015
62,"442, 443, 448, 578",2007,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Poland, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Tonga, Government of United Kingdom, Government of United States of America, Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, Government of Moldova, Government of Mongolia, Government of Poland, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Tonga, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF, al-Mahdi Army","1075, 1076, 1077, 5659",,2,,2212,2040,2481,4,Iraq,645,"339, 371, 900, 373, 346, 355, 316, 390, 92, 366, 372, 705, 367, 368, 343, 359, 712, 290, 360, 317, 732, 972, 200, 2",,,645,645,2,5.0-2015
