"Country or Area","Year","Value","Value Footnotes"
"Turkey","2009","4.4","239"
"Turkey","2008","6.8","239"
"Turkey","2007","8.4","239"
"Turkey","2006","13.3","239"
"Turkey","2005","16.4","239"
"Turkey","2004","20.9","239"
"Turkey","2003","23.8","239"
"Turkey","2002","30.3","239"
"Uganda","2012","19.5","240"
"Uganda","2009","24.5",""
"Uganda","2005","31.1","241"
"Uganda","2002","38.8","242"
"Uganda","2000","33.8","242"
"Uganda","1996","44.4","242"
"Uganda","1992","56.4","242"
"Ukraine","2013","8.4","243"
"Ukraine","2012","9.1","244"
"Ukraine","2011","7.8","244"
"Ukraine","2010","8.8","244"
"Ukraine","2009","5.8","244"
"Ukraine","2008","7.1","244"
"Ukraine","2007","12.7","244"
"United Republic of Tanzania","2012","28.2","245"
"Uruguay","2013","11.5","246"
"Uruguay","2012","12.4","246"
"Uruguay","2011","13.7","246"
"Uruguay","2010","18.5","246"
"Uruguay","2009","21","246"
"Uruguay","2008","24.2","246"
"Uruguay","2007","29.6","246"
"Uruguay","2006","32.5","246"
"Uzbekistan","2011","16","247"
"Uzbekistan","2010","17.7","247"
"Venezuela","2012","25.4","248"
"Venezuela","2011","31.6","248"
"Venezuela","2010","32.5","248"
"Venezuela","2009","31.8","248"
"Venezuela","2008","32.6","248"
"Venezuela","2007","33.6","248"
"Venezuela","2006","36.3","248"
"Venezuela","2005","43.7","248"
"Venezuela","2004","53.9","248"
"Venezuela","2003","62.1","248"
"Venezuela","2002","55.4","248"
"Venezuela","2001","45.4","248"
"Venezuela","2000","46.3","248"
"Venezuela","1999","48.7","248"
"Venezuela","1998","50.4","248"
"Venezuela","1997","54.5","248"
"Viet Nam","2012","17.2","249"
"Viet Nam","2010","20.7","250"
"Yemen","2005","34.8","251"
"Yemen","1998","40.1","251"
"Zambia","2010","60.5","252"
"Zimbabwe","2011","72.3","253"

"footnoteSeqID","Footnote"
"1","World Bank estimates National Risk and Vulnerability Assessment 2011-12"
"2","World Bank Source; Poverty figures are not comparable with previous series due to seasonality and changes in the questionnaires used. National Risk and Vulnerability Assessment Survey 2007-2008."
"3","Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012."
"4","World Bank Source; Albania: trends in poverty 2002-2005-2008"
"5","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Inquérito Integrado sobre o Bem-Estar da População (IBEP). Not comparable with prior series."
"6","Social snapshot and poverty in Armenia, 2014"
"7","Social snapshot and poverty in Armenia, 2013.  Poverty profile and labor market developments in 2008-2012. National Statistical Service of the Republic of Armenia."
"8","Social snapshot and poverty in Armenia, 2012. Poverty profile and Labor Market developments in 2008-2011. National Statistical Service of the Republic of Armenia."
"9","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia."
"10","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia. Integrated Living Conditions Survey 2009."
"11","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia. Integrated Living Conditions Survey 2008."
"12","World Bank Source; Armenia: Poverty Assessment  (In Three Volumes) Volume I: A Summary of Findings, Report No: 27192-AM, Nov 2003"
"13","Statistical yearbook of Azerbaijan, 2013. State Statistical Committee of the Republic of Azerbaijan. Comparable series since 2001."
"14","World Bank Source; Azerbaijan: Living Conditions Assessment Report, Report No. 52801-AZ, March 2010"
"15","Bangladesh Bureau of Statistics Source; HIES 2010; based on the BBS method anchored to HIES (2005) upper poverty lines; inflation adjustment based on HIES data, not CPI."
"16","World Bank Source; HIES 1991/92, 1995/96, 2000, and 2005; based on the BBS method anchored to HIES (2005) upper poverty lines deflated to adjust for inflation to generate comparable poverty lines for earlier years."
"17","Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus."
"18","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan."
"19","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681)."
"20","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2008 - World Bank ECAPOV Standardized Datasets."
"21","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2007 - World Bank ECAPOV Standardized Datasets."
"22","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2006 - World Bank ECAPOV Standardized Datasets."
"23","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2005 - World Bank ECAPOV Standardized Datasets."
"24","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681)"
"25","Enquete Modulaire Integree sur les Conditions de Vie des Menages 2ème Édition (EMICov 2011). Comparable series since 2006."
"26","Enquête Modulaire Intégrée sur les Conditions de Vie des Ménages (EMICoV). Comparable series since 2006."
"27","Enquête Modulaire Intégrée sur les Conditions de Vie des Ménages (EMICoV). Not comparable with prior series."
"28","Source: National Source. Bhutan Poverty Analysis 2012. National Statistics Bureau Royal Government of Bhutan and the World Bank. Bhutan Living Standards Survey (BLSS) 2012. Comparable with the 2007 estimates."
"29","National Source; estimates for 2003 and 2007 are not comparable. Poverty Analysis Report 2007. National Statistics Bureau Royal Government of Bhutan (December 2007) and Poverty and Inequality in Bhutan (2004)."
"30","National Source (www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals)"
"31","National Source (www.ine.gov.bo and www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals)"
"32","National Source (www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals). This survey was carried out from 2003 to 2004. The official poverty rates are considered for both years."
"33","Agency for Statistics of Bosnia and Herzegovina, Relative poverty line (poverty threshold) is set to the amount  of 60% of the median equivalised household consumption  expenditure. Household Budget Survey (HBS) 2011 http://www.bhas.ba/saopsten"
"34","Agency for Statistics of Bosnia and Herzegovina, Relative poverty line (poverty threshold) is set to the amount  of 60% of the median equivalised household consumption  expenditure. Household Budget Survey (HBS) 2007 http://www.bhas.ba/ankete/h"
"35","Botswana Core Welfare Indicators Survey 2009/10 Botswana Core Welfare Indicators Survey (BCWIS). Comparable series since 1986."
"36","Central Statistics office: Poverty Datum Line for Botswana 2003. Comparable series since 1986."
"37","Central Statistics office. Comparable series since 1985."
"38","National Source (www.ipeadata.gov.br)"
"39","Brazil does not have an official poverty line. In recent years, the R$70 and R$140 per capita per month (of June 2011), which are administrative poverty lines defined for the Bolsa Familia program and the Brasil Sem Miseria plan, have been incr"
"40","EUROSTAT, At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers), reported year is income reference year."
"41","EUROSTAT, At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers), reported year is income reference year. European Union Statistics on Income and Living Conditions (EU-SILC) At risk of poverty rate (cut"
"42","EUROSTAT, At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers), reported year is income reference year. European Union Statistics on Income and Living Conditions (EU-SILC)"
"43","Report No.: 69116-BF Burkina Faso Poverty Trends and Profile 2003-2009: A Policy Note 1 (June 2013). Comparable with the 2003 estimates."
"44","Report No.: 69116-BF Burkina Faso Poverty Trends and Profile 2003-2009: A Policy Note 1 (June 2013). Comparable series since 2003."
"45","Republic of Burundi: Poverty Reduction Strategy Paper: PRSP First Annual Progress Report.  IMF Country Report No. 07/46. Not comparable with prior estimates."
"46","WB estimates based on Cambodia Socio-Economic Survey 2012. The numbers are not final yet."
"47","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2011."
"48","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2010."
"49","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2009."
"50","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Annual Socio-Economic Survey 2008"
"51","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Socio-Economic Survey 2006-2007"
"52","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Socio-Economic Survey 2003-2004"
