Table 6 A:  Multidimensional Poverty Index - changes over time for select countries,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Population in multidimensional poverty,,,,,,,,,a,Population near multidimensional  poverty,,Population in severe poverty,,Contribution of deprivation to overall poverty (%),,,,,
Uganda,,2006 D,,0.399,,74.5,,22131,,53.6,,18.2,,41.5,,17.1,,30.4,,52.5,
Zimbabwe,,2010/2011 D,,0.181,,41.0,,5482,,44.1,,24.9,,12.2,,7.8,,37.9,,54.3,
Zimbabwe,,2006 D,,0.193,,42.4,,5399,,45.4,,22.8,,15.7,,11.5,,29.6,,58.9,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"a. Not all indicators were available for all countries; caution should thus be used in cross-country comparisons. Where data are missing, indicator weights are adjusted to total 100 percent.  ",,,,,,,,,,,,,,,,,,,,,
"b. The Multidimensional Poverty Index is based on a set of revised specifications of deprivations in three dimensions - health, education and living standards outlined in Technical note 5 at http://hdr.undp.org/en.",,,,,,,,,,,,,,,,,,,,,
"c. D indicates data are from Demographic and Health Surveys, M indicates data are from Multiple Indicator Cluster Surveys, and N indicates data from national surveys. The list of surveys is given at http://hdr.undp.org. ",,,,,,,,,,,,,,,,,,,,,
d.  Mising indicator on child mortality,,,,,,,,,,,,,,,,,,,,,
e.  Missing indicators on nutrition,,,,,,,,,,,,,,,,,,,,,
f.  Missing Indicator on type of floor,,,,,,,,,,,,,,,,,,,,,
g.  Missing indicator on cooking fuel,,,,,,,,,,,,,,,,,,,,,
h.  Missing indicator on electricity,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DEFINITIONS ,,,,,,,,,,,,,,,,,,,,,
Multidimensional Poverty Index: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 (http://hdr.undp.org/en) for details on how the Multidimensional Poverty Index is calculated.,,,,,,,,,,,,,,,,,,,,,
Multidimensional poverty headcount: Percentage of the population with a weighted deprivation score of at least 33 percent. It is also expressed in thousands of the population in the survey year.,,,,,,,,,,,,,,,,,,,,,
Intensity of deprivation of multidimensional poverty: Average percentage of deprivation experienced by people in multidimensional poverty.,,,,,,,,,,,,,,,,,,,,,
"Population near multidimensional poverty: Percentage of the population at risk of suffering multiple deprivations—that is, those with a deprivation score of 20–33 percent.",,,,,,,,,,,,,,,,,,,,,
"Population in severe poverty: Percentage of the population in severe multidimensional poverty—that is, those with a deprivation score of 50 percent or more.",,,,,,,,,,,,,,,,,,,,,
Contribution of deprivation to overall poverty: Percentage of the Multidimensional Poverty Index attributed to deprivations in each dimension.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,
"Columns 1 and 2: Calculated from various household surveys, including ICF Macro Demographic and Health Surveys, United Nations Children's Fund Multiple Indicator Cluster Surveys and several national household surveys conducted between 2005 and 2012.",,,,,,,,,,,,,,,,,,,,,
"Columns 3–10: HDRO calculations based on data on household deprivations in education, health and living standards from various household surveys listed in column 1 using the revised methodology described in Technical note 5 at http://hdr.undp.org/en.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
