dyadid,org,sidea,sideaid,sideacomponents,sideb,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,bestfatalityestimate,lowfatalityestimate,highfatalityestimate,location,gwnolocation,region,version
2-11309,2,Supporters of Yousaf Ali Khan Magsi,2953,,Supporters of Zulfikar Ali Khan Magsi,2954,,9/26/1992,1,8/30/1993,1,1,10/21/1993,1,1993,33,33,33,Pakistan,770,3,2.5-2015
2-11342,1,Lashkar of Mohmand tribe,2987,,TTP,1199,,7/4/2009,1,7/14/2009,1,1,11/15/2009,1,2009,53,53,53,Pakistan,770,3,2.5-2015
2-114,3,Fiqi Muhumud subclan (Dir),1458,,Marehan subclan of Sede clan (Darod),1501,,5/22/2003,1,10/27/2003,1,1,12/16/2003,2,2003,104,102,125,Somalia,520,4,2.5-2015
2-11433,1,Black Axe,2114,,Eyie,3108,,2/15/2002,2,5/19/2011,1,1,10/27/2011,1,2011,31,31,31,Nigeria,475,4,2.5-2015
2-11433,1,Black Axe,2114,,Eyie,3108,,2/15/2002,2,6/17/2013,2,1,9/10/2013,1,2013,39,39,39,Nigeria,475,4,2.5-2015
2-115,3,Majerteen subclan (Darod),1572,,Marehan subclan of Sede clan (Darod),1501,,11/30/2001,5,2/17/2006,2,1,2/17/2006,2,2006,100,100,100,Ethiopia,530,4,2.5-2015
2-116,3,Majerteen subclan (Darod),1572,,Ogaden clan (Darod),1522,,6/10/2004,2,6/10/2004,2,1,6/10/2004,2,2004,54,54,54,Ethiopia,530,4,2.5-2015
2-11663,1,Beltrán Leyva Cartel,1974,,Sinaloa Cartel,1636,,1/1/2014,1,8/1/2014,1,0,,0,2014,48,48,101,Mexico,70,5,2.5-2015
2-11668,1,Guerreros Unidos,3298,,Los Rojos,3299,,2/21/2014,2,5/31/2014,5,0,,0,2014,158,158,160,Mexico,70,5,2.5-2015
2-11682,3,Opponents of Mohamed Morsi,3307,,Supporters of Mohamed Morsi,3306,,11/25/2012,1,6/30/2013,1,1,12/30/2013,1,2013,119,119,123,Egypt,651,2,2.5-2015
2-117,3,Dassanetch,1574,,Turkana,1554,,12/31/1991,5,6/30/1997,1,1,6/30/1997,1,1997,28,28,28,Kenya,501,4,2.5-2015
2-117,3,Dassanetch,1574,,Turkana,1554,,12/31/1991,5,2/23/2000,1,1,2/23/2000,1,2000,142,142,142,Kenya,501,4,2.5-2015
2-117,3,Dassanetch,1574,,Turkana,1554,,12/31/1991,5,7/31/2005,3,1,11/30/2005,3,2005,36,36,36,"Kenya, Ethiopia","501, 530",4,2.5-2015
2-117,3,Dassanetch,1574,,Turkana,1554,,12/31/1991,5,7/27/2009,5,1,11/30/2009,3,2009,54,54,54,"Kenya, Ethiopia","501, 530",4,2.5-2015
2-117,3,Dassanetch,1574,,Turkana,1554,,12/31/1991,5,5/2/2011,1,1,8/7/2011,1,2011,55,55,78,Kenya,501,4,2.5-2015
2-11735,3,Birom,1443,,"Fulani, Hausa",547520,"1461, 1462",12/30/2001,1,1/19/2010,1,1,1/20/2010,2,2010,333,333,400,Nigeria,475,4,2.5-2015
2-118,1,MFDC Front Nord - MD,1508,,MFDC - S,1509,,6/7/2006,2,6/15/2006,2,1,6/15/2006,2,2006,124,124,124,Senegal,433,4,2.5-2015
2-11801,3,Christians (CAR),3555,,Muslims (CAR),3556,,6/1/2011,2,12/20/2013,2,0,,0,2013,47,47,47,Central African Republic,482,4,2.5-2015
2-11801,3,Christians (CAR),3555,,Muslims (CAR),3556,,6/1/2011,2,12/20/2013,2,0,,0,2014,460,447,508,Central African Republic,482,4,2.5-2015
2-11810,3,Amothnhon Dinka ,3568,,Panyon Dinka ,3569,,1/16/2013,1,1/18/2013,1,1,1/18/2013,1,2013,25,25,25,South Sudan,626,4,2.5-2015
2-119,3,Misseriya,1904,,Rizeigat Abbala,1536,,12/31/2004,5,7/19/2012,1,1,7/19/2012,1,2012,58,58,116,Sudan,625,4,2.5-2015
2-119,3,Misseriya,1904,,Rizeigat Abbala,1536,,12/31/2004,5,8/20/2008,1,0,,0,2008,67,67,67,Sudan,625,4,2.5-2015
2-119,3,Misseriya,1904,,Rizeigat Abbala,1536,,12/31/2004,5,8/20/2008,1,0,,0,2009,244,244,264,Sudan,625,4,2.5-2015
2-119,3,Misseriya,1904,,Rizeigat Abbala,1536,,12/31/2004,5,8/20/2008,1,1,8/18/2010,2,2010,342,342,342,Sudan,625,4,2.5-2015
12-Feb,3,Alur,1431,,Lendu,1495,,1/31/2002,3,1/31/2002,3,1,1/31/2002,3,2002,50,50,74,DR Congo (Zaire),490,4,2.5-2015
2-120,3,Mohamed Muse subclan of Abgal clan (Hawiye),1513,,Warsangeli subclan of Abgal clan (Hawiye),1560,,3/1/2003,1,5/28/2003,1,1,7/30/2003,1,2003,64,64,76,Somalia,520,4,2.5-2015
2-121,1,MDF,1769,,SLDF,1565,,1/31/2008,3,1/31/2008,3,1,1/31/2008,3,2008,32,32,32,Kenya,501,4,2.5-2015
2-12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1935,,Yan Gora,4000,,7/25/2013,1,8/25/2013,1,0,,0,2013,92,92,131,Nigeria,475,4,2.5-2015
2-12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1935,,Yan Gora,4000,,7/25/2013,1,8/25/2013,1,0,,0,2014,463,463,482,Nigeria,475,4,2.5-2015
2-12136,3,Muslims (Sri Lanka),4004,,Tamil,2297,,4/12/1989,2,5/25/1989,3,1,5/25/1989,3,1989,25,25,25,Sri Lanka,780,3,2.5-2015
2-12152,3,Atakar,4022,,Fulani,1461,,3/19/2013,1,3/21/2013,1,1,9/2/2013,1,2013,77,77,78,Nigeria,475,4,2.5-2015
2-12154,3,Hausa,1462,,Jukun,1821,,2/23/2013,2,2/23/2013,2,1,5/3/2013,1,2013,70,70,70,Nigeria,475,4,2.5-2015
2-12175,3,Assamese,2922,,Bihari,4044,,11/15/2003,1,11/19/2003,1,1,12/8/2003,1,2003,55,55,58,India,750,3,2.5-2015
2-122,3,Murle,1514,,Nuer,1519,,4/15/2006,2,4/22/2006,1,1,4/29/2006,1,2006,59,59,59,Ethiopia,530,4,2.5-2015
2-12284,3,Agatu,4120,,Tiv,1911,,6/4/2013,1,6/4/2013,1,1,6/13/2013,1,2013,42,42,43,Nigeria,475,4,2.5-2015
2-123,1,NDPVF,1414,,NDV,1516,,2/21/2004,1,8/23/2004,1,1,11/4/2004,1,2004,59,59,60,Nigeria,475,4,2.5-2015
2-12306,1,M23,2045,,M23-R,4130,,2/24/2013,1,3/10/2013,2,1,3/16/2013,1,2013,41,36,412,DR Congo (Zaire),490,4,2.5-2015
2-12328,1,APCLS,2091,,NDC,3037,,4/28/2013,1,5/31/2013,3,1,10/11/2013,1,2013,66,66,177,DR Congo (Zaire),490,4,2.5-2015
2-12337,1,Hezbollah,1209,,Jabhat al-Nusra li al-Sham,2057,,12/21/2013,1,12/21/2013,1,0,,0,2013,33,33,33,Lebanon,660,2,2.5-2015
2-12337,1,Hezbollah,1209,,Jabhat al-Nusra li al-Sham,2057,,12/21/2013,1,12/21/2013,1,0,,0,2014,67,67,70,"Lebanon, Syria","660, 652",2,2.5-2015
2-12341,3,Agatu,4120,,Fulani,1461,,5/12/2013,1,5/12/2013,1,1,11/9/2013,1,2013,102,102,134,Nigeria,475,4,2.5-2015
2-12350,3,Arab Brabich ,4171,,Tuareg Indinan ,4172,,8/15/2013,1,8/20/2013,1,1,8/20/2013,1,2013,27,27,27,Algeria,615,4,2.5-2015
2-12362,1,Brigades of Aisha,4183,,Hezbollah,1209,,8/15/2013,1,8/15/2013,1,1,8/15/2013,1,2013,26,21,27,Lebanon,660,2,2.5-2015
2-12378,1,anti-Balaka,4201,,FPRC,4007,,8/26/2013,1,10/2/2013,1,0,,0,2013,238,238,330,Central African Republic,482,4,2.5-2015
2-12378,1,anti-Balaka,4201,,FPRC,4007,,8/26/2013,1,10/2/2013,1,0,,0,2014,476,435,595,Central African Republic,482,4,2.5-2015
2-12384,3,Beni Hussein,2136,,Rizeigat Abbala,1536,,1/9/2013,1,1/9/2013,1,0,,0,2013,311,255,894,Sudan,625,4,2.5-2015
2-12384,3,Beni Hussein,2136,,Rizeigat Abbala,1536,,1/9/2013,1,1/9/2013,1,0,,0,2014,76,76,76,Sudan,625,4,2.5-2015
2-12385,3,Awlad Heiban (Misseriya) ,4203,,"Awlad Metanin (Misseriya),  Awlad Serur (Misseriya)",562580,"4204, 4531",1/6/2013,1,1/6/2013,1,1,1/6/2013,1,2013,80,80,80,Sudan,625,4,2.5-2015
2-12388,3,Beni Halba Baggara,1873,,Gimir,2131,,3/1/2013,1,5/3/2013,1,1,6/24/2013,1,2013,177,177,235,Sudan,625,4,2.5-2015
2-12393,1,Ansaar ul-Islam,1243,,TTP,1199,,1/28/2013,2,1/28/2013,2,1,3/19/2013,1,2013,211,211,211,Pakistan,770,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,4/30/2001,3,1,12/11/2001,1,2001,59,59,59,India,750,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,9/10/2005,1,0,,0,2005,29,22,30,India,750,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,9/10/2005,1,0,,0,2006,68,67,80,India,750,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,9/10/2005,1,0,,0,2007,76,76,82,India,750,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,9/10/2005,1,1,12/11/2008,1,2008,51,51,59,India,750,3,2.5-2015
2-124,1,NSCN-IM,1065,,NSCN-K,1066,,8/19/1999,1,2/25/2011,2,1,3/15/2011,1,2011,37,37,37,India,750,3,2.5-2015
2-12400,3,Misseriya,1904,,Salamat Baggara,1872,,4/11/2013,1,4/11/2013,1,0,,0,2013,456,311,751,Sudan,625,4,2.5-2015
2-12400,3,Misseriya,1904,,Salamat Baggara,1872,,4/11/2013,1,4/11/2013,1,0,,0,2014,57,57,57,Sudan,625,4,2.5-2015
2-12410,3,Hamar,1964,,Ma'aliyah,1498,,12/5/2013,1,12/5/2013,1,0,,0,2013,38,38,38,Sudan,625,4,2.5-2015
2-12410,3,Hamar,1964,,Ma'aliyah,1498,,12/5/2013,1,12/5/2013,1,0,,0,2014,52,52,56,Sudan,625,4,2.5-2015
2-12441,3,Eggon,2059,,Fulani,1461,,8/22/2014,2,8/24/2014,1,0,,0,2014,202,202,402,Nigeria,475,4,2.5-2015
2-12467,3,Ikpanaya,4290,,Ntan Obu-Ukpe,4291,,5/31/2012,3,5/31/2012,3,1,5/31/2012,3,2012,41,41,41,Nigeria,475,4,2.5-2015
2-125,1,NSCN-IM,1065,,NSCN-U,1659,,4/17/2008,1,6/7/2008,1,1,8/1/2008,1,2008,36,36,49,India,750,3,2.5-2015
2-12589,1,MAA,4380,,MNLA,2043,,2/23/2013,5,8/16/2013,1,1,8/16/2013,1,2013,28,28,28,Mali,432,4,2.5-2015
2-12635,1,Amigos dos Amigos,4416,,Comando Vermelho,1633,,2/25/2002,1,11/22/2004,1,1,12/29/2004,2,2004,51,51,51,Brazil,140,5,2.5-2015
2-12635,1,Amigos dos Amigos,4416,,Comando Vermelho,1633,,2/25/2002,1,10/24/2009,2,1,10/24/2009,2,2009,40,40,45,Brazil,140,5,2.5-2015
2-12654,1,Barriga gang,4431,,Sujeirinha gang,4432,,5/9/1997,1,12/13/1999,1,1,12/25/1999,1,1999,30,30,30,Brazil,140,5,2.5-2015
2-12693,1,Comando Vermelho,1633,,Terceiro Comando Puro,4462,,7/14/2004,1,9/5/2011,5,1,9/5/2011,5,2011,31,31,31,Brazil,140,5,2.5-2015
2-12696,3,Borana,1445,,"Burji, Gabra",553080,"1463, 1446",7/15/2013,1,12/6/2013,2,1,12/8/2013,1,2013,39,39,174,Kenya,501,4,2.5-2015
2-127,3,"Nyangatom, Toposa",553002,"1573, 1553",Turkana,1554,,1/13/2006,1,1/13/2006,1,1,1/13/2006,1,2006,58,58,58,Kenya,501,4,2.5-2015
2-12701,1,Autodefensas Unidas de Michoacán,4475,,Los Caballeros Templarios,2035,,4/28/2013,1,10/27/2013,1,1,11/16/2013,1,2013,38,35,48,Mexico,70,5,2.5-2015
2-12703,3,Al-Maraziq,4478,,Al-Saida,4477,,12/31/2003,5,12/3/2004,3,1,12/3/2004,3,2004,28,28,30,Yemen (North Yemen),678,2,2.5-2015
2-12712,1,Gulf Cartel - Ramirez Treviño faction,4486,,Gulf Cartel - Villareal faction,4487,,3/10/2013,1,3/10/2013,1,1,3/10/2013,1,2013,35,2,50,Mexico,70,5,2.5-2015
2-12718,1,La Mochomera,4492,,Sinaloa Cartel,1636,,4/21/2013,2,8/10/2013,3,1,9/8/2013,1,2013,27,27,27,Mexico,70,5,2.5-2015
2-128,3,Ogaden clan (Darod),1522,,Sheikhal clan (Dir),1542,,9/1/1999,2,9/9/1999,3,1,9/9/1999,3,1999,70,70,70,Somalia,520,4,2.5-2015
2-128,3,Ogaden clan (Darod),1522,,Sheikhal clan (Dir),1542,,9/1/1999,2,3/31/2002,3,1,5/31/2002,3,2002,435,435,435,Ethiopia,530,4,2.5-2015
2-129,3,Oromo,1523,,Somali (Ethiopia),1545,,7/7/1991,1,7/16/2000,2,1,7/16/2000,2,2000,40,40,40,Ethiopia,530,4,2.5-2015
2-129,3,Oromo,1523,,Somali (Ethiopia),1545,,7/7/1991,1,12/26/2003,1,1,12/26/2003,1,2003,33,33,33,Ethiopia,530,4,2.5-2015
2-129,3,Oromo,1523,,Somali (Ethiopia),1545,,7/7/1991,1,2/22/2005,1,1,6/30/2005,5,2005,102,102,102,Ethiopia,530,4,2.5-2015
13-Feb,3,Amaro,1432,,Guji,1467,,10/16/2006,2,10/16/2006,2,1,10/16/2006,2,2006,30,30,30,Ethiopia,530,4,2.5-2015
2-130,1,Palipehutu-FNL,1278,,Palipehutu-FNL - LP,1647,,9/4/2007,1,9/4/2007,1,1,10/21/2007,1,2007,52,46,52,Burundi,516,4,2.5-2015
2-131,1,PDF,1526,,SSDF,1546,,11/9/2002,1,11/9/2002,1,1,11/9/2002,1,2002,38,38,38,Sudan,625,4,2.5-2015
2-132,3,Pian Karimojong,1528,,Pokot,1529,,4/13/1998,1,11/30/2003,3,1,11/30/2003,3,2003,34,34,34,Uganda,500,4,2.5-2015
2-133,3,Pokot,1529,,Sabiny,1541,,4/11/2003,1,4/11/2003,1,1,4/11/2003,1,2003,30,30,50,Uganda,500,4,2.5-2015
2-134,1,Puntland state of Somalia,1530,,Republic of Somaliland,1535,,12/7/2002,1,10/28/2004,1,1,11/17/2004,2,2004,34,34,125,Somalia,520,4,2.5-2015
2-135,1,Mayi Mayi,1505,,RCD,1270,,8/23/1998,1,9/11/1998,2,0,,0,1998,29,29,32,DR Congo (Zaire),490,4,2.5-2015
2-135,1,Mayi Mayi,1505,,RCD,1270,,8/23/1998,1,9/11/1998,2,0,,0,1999,115,115,187,DR Congo (Zaire),490,4,2.5-2015
2-135,1,Mayi Mayi,1505,,RCD,1270,,8/23/1998,1,9/11/1998,2,1,12/14/2000,2,2000,107,107,107,DR Congo (Zaire),490,4,2.5-2015
2-135,1,Mayi Mayi,1505,,RCD,1270,,8/23/1998,1,3/15/2002,1,0,,0,2002,378,378,466,DR Congo (Zaire),490,4,2.5-2015
2-135,1,Mayi Mayi,1505,,RCD,1270,,8/23/1998,1,3/15/2002,1,1,7/31/2003,1,2003,53,53,85,DR Congo (Zaire),490,4,2.5-2015
2-136,1,FRF,1532,,RCD,1270,,2/25/2002,3,4/16/2002,2,1,4/16/2002,2,2002,221,221,221,DR Congo (Zaire),490,4,2.5-2015
2-137,1,RCD-K-ML ,1650,,RCD-N,1511,,3/16/2003,1,3/16/2003,1,1,3/16/2003,1,2003,45,45,45,DR Congo (Zaire),490,4,2.5-2015
2-13767,1,"IS, Jabhat al-Nusra li al-Sham",565281,"1076, 2057",PYD,2100,,8/2/2013,1,9/18/2013,2,1,9/18/2013,2,2013,37,37,59,Syria,652,2,2.5-2015
2-13768,1,Jabhat al-Nusra li al-Sham,2057,,PYD,2100,,1/19/2013,2,1/19/2013,2,1,7/19/2013,1,2013,56,56,71,Syria,652,2,2.5-2015
2-13769,1,"FSA, Jabhat al-Nusra li al-Sham, Mish'al at Tammu Brigade",565280,"2015, 2057, 5538",PYD,2100,,1/26/2013,3,1/26/2013,3,1,1/26/2013,3,2013,41,41,41,Syria,652,2,2.5-2015
2-13770,1,FSA,2015,,IS,1076,,7/7/2013,2,9/22/2013,1,0,,,2013,40,40,41,Syria,652,2,2.5-2015
2-13770,1,FSA,2015,,IS,1076,,7/7/2013,2,9/22/2013,1,0,,0,2014,49,39,67,Syria,652,2,2.5-2015
2-13771,1,FSA,2015,,PYD,2100,,2/14/2013,1,6/6/2013,3,1,7/19/2013,2,2013,34,34,44,Syria,652,2,2.5-2015
2-13772,1,"FSA, Jabhat al-Nusra li al-Sham",565202,"2015, 2057",Jabhat al-Akrad,5541,,7/29/2013,1,7/29/2013,1,1,7/29/2013,1,2013,34,14,35,Syria,652,2,2.5-2015
2-13794,1,"FSA, IS",565282,"1076, 2015",PYD,2100,,2/16/2014,1,2/16/2014,1,0,,0,2014,39,39,39,Syria,652,2,2.5-2015
2-138,1,RCD-K-ML ,1650,,"MLC, RCD-N",549001,"1269, 1511",6/10/2001,2,6/10/2001,2,0,,0,2001,40,40,49,DR Congo (Zaire),490,4,2.5-2015
2-138,1,RCD-K-ML ,1650,,"MLC, RCD-N",549001,"1269, 1511",6/10/2001,2,6/10/2001,2,1,8/31/2002,3,2002,158,158,294,DR Congo (Zaire),490,4,2.5-2015
2-13801,1,IS,1076,,PYD,2100,,1/15/2014,1,2/22/2014,1,0,,0,2014,1524,1524,1699,Syria,652,2,2.5-2015
2-13813,1,IS,1076,,Jabhat al-Nusra li al-Sham,2057,,1/18/2014,1,3/7/2014,1,0,,0,2014,736,736,735,Syria,652,2,2.5-2015
2-139,3,Rizeigat Abbala,1536,,Terjam,1551,,1/6/2007,1,1/7/2007,1,1,8/14/2007,1,2007,382,382,382,Sudan,625,4,2.5-2015
2-140,1,RRA,1538,,RRA - MH,1537,,1/2/2001,1,7/5/2002,1,0,,0,2002,154,154,189,Somalia,520,4,2.5-2015
2-140,1,RRA,1538,,RRA - MH,1537,,1/2/2001,1,7/5/2002,1,1,10/11/2003,2,2003,80,80,131,Somalia,520,4,2.5-2015
2-140,1,RRA,1538,,RRA - MH,1537,,1/2/2001,1,5/30/2005,1,1,5/30/2005,1,2005,34,34,34,Somalia,520,4,2.5-2015
2-14009,3,Fulani,1461,,Jukun,1821,,4/15/2014,1,9/14/2014,1,0,,0,2014,77,77,94,Nigeria,475,4,2.5-2015
